"cpg_grouping","tile_methode","model_id","dataset","model","organ","rsq_threshold","filter","epse","mae","r_squared_value"
"Point","Point",70,"Validation","Lasso","Brain","r2_0.1","min5",1,3.72229039870226,0.520315816987087
"Point","Point",71,"Train","Lasso","Brain","r2_0.1","nofilter",1,3.16400101308764,0.84342839539199
"Point","Point",71,"Validation","Lasso","Brain","r2_0.1","nofilter",1,3.72503406622004,0.52744007365049
"Point","Point",72,"Train","Lasso","Brain","r2_0.2","min10",1,0.161166383884571,0.999712313544931
"Point","Point",72,"Validation","Lasso","Brain","r2_0.2","min10",1,2.95188447948356,0.713541366150791
"Point","Point",73,"Train","Lasso","Brain","r2_0.2","min20",1,3.07488703054106,0.861919084862961
"Point","Point",73,"Validation","Lasso","Brain","r2_0.2","min20",1,2.96219641580642,0.88523246975705
"Point","Point",74,"Train","Lasso","Brain","r2_0.2","min5",1,0.36791838667651,0.998303720747925
"Point","Point",74,"Validation","Lasso","Brain","r2_0.2","min5",1,2.82731801725164,0.829725398732653
"Point","Point",75,"Train","Lasso","Brain","r2_0.2","nofilter",1,2.32861213558347,0.938288824888501
"Point","Point",75,"Validation","Lasso","Brain","r2_0.2","nofilter",1,2.73527283430592,0.746986425057856
"Point","Point",76,"Train","Lasso","Brain","r2_0.3","min10",1,2.26154278110484,0.943026712471921
"Point","Point",76,"Validation","Lasso","Brain","r2_0.3","min10",1,3.58730698809927,0.744135519078403
"Point","Point",77,"Train","Lasso","Brain","r2_0.3","min20",1,3.28612217401339,0.78319269682558
"Point","Point",77,"Validation","Lasso","Brain","r2_0.3","min20",1,5.4421021192704,0.724548293498603
"Point","Point",78,"Train","Lasso","Brain","r2_0.3","min5",1,0.169695153340541,0.999791335168906
"Point","Point",78,"Validation","Lasso","Brain","r2_0.3","min5",1,2.7066795947319,0.943343445847041
"Point","Point",79,"Train","Lasso","Brain","r2_0.3","nofilter",1,0.16858182797287,0.999728087422921
"Point","Point",79,"Validation","Lasso","Brain","r2_0.3","nofilter",1,1.98376884455505,0.871883852656555
"Point","Point",80,"Train","Lasso","Fin_clip_caudal","r2_0.05","min10",1,2.51295269201226,0.925776992867835
